,genre,rating,review_num,url,img
에브리타운 스윗,puzzle,4,20000,https://play.google.com/store/apps/details?id=com.flerogames.ES,https://play-lh.googleusercontent.com/9EHoeP99XHJQ0pW-Af1xOw9ONZObJbQ75YBOBVbv0UZGfB9iCwVr_ULcvwRp79MRPck=w240-h480-rw
애니팡 터치,puzzle,3.1,9010,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.anipangtouch,https://play-lh.googleusercontent.com/eygMP8-6O_tR6FetVTpv6Nzqf0fBR25eOgQUwrVV6S9wpEviFZdWnM4b9C_1R7WbAw=w240-h480-rw
프렌즈팝콘,puzzle,4,62500,https://play.google.com/store/apps/details?id=com.kakaogames.friendsKing,https://play-lh.googleusercontent.com/uP2utahS_zRDSIwGXsX1W0BJx6iogzZbotqgG9mil_wZO5EJ9jLy2NT9zrBT6GTGwHQ=w240-h480-rw
애니팡3,puzzle,3.8,202000,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.anipang3.service,https://playgame-img.kakaogames.com/production/images/q7pz-2021-04-13/16-44-01-788/appIcon.png
프렌즈사천성,puzzle,3.6,110000,https://play.google.com/store/apps/details?id=com.kakaogames.friendsScpuzzle,https://playgame-img.kakaogames.com/production/images/6ywy-2022-09-27/10-20-15-902/appIcon.png
상하이 애니팡,puzzle,3.7,40400,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.shanghai.service,https://play-lh.googleusercontent.com/TFrWm091k0xBMbZjS-OaVFn2sbysaX8jOBdiY0cumZldbIRHKw5UFG7kf2-6hceMzg=w240-h480-rw
프렌즈팝,puzzle,4,161000,https://play.google.com/store/apps/details?id=com.nhnpixelcube.friendspop,https://play-lh.googleusercontent.com/x0XsV7vhfQbekUOSjsaV1NpkDj7R_pgtH5rwjZfv3srj2flHS0DZroc_w1d7CiqcORA=w240-h480-rw
포코포코,puzzle,4.2,37100,https://play.google.com/store/apps/details?id=com.nhnent.SKPOKOPOKO,https://play-lh.googleusercontent.com/scgsc-XGA6o_OmEqlSk9KC1yPokXbb5GYxycQmQU05omOX4iPiWnZRTu3mMqIqTqMfs=w240-h480-rw
디즈니 틀린그림찾기,puzzle,4.4,381000,https://play.google.com/store/apps/details?id=com.lunosoft.disneyhiddencatch,https://play-lh.googleusercontent.com/zPO0FXnVXyWwt0YTyZ_QmgCUbK5Ib4CGvll5M2ZMpo2F_65xZf60y1l85QIoJqb8wPsb=w240-h480-rw
탄탄 사천성,puzzle,3.9,55600,https://play.google.com/store/apps/details?id=com.neptune.tantan,https://play-lh.googleusercontent.com/YOq7JXea2iyp5a2Y6axNyG8fPVPQZ1rYgFY1FXmqj3HCR1i_fpKqAzQc1P1IJ5a7MqSV=w240-h480-rw
몬스터 버스터즈,puzzle,4.4,45700,https://play.google.com/store/apps/details?id=com.purplekiwii.mbkakao,https://play-lh.googleusercontent.com/iRZlrgTVbsFKEQR4Lq1w9_og5zSgfrXqNUdXhfu28E_4cijVApxvYjO924-6LVfoLgs=w240-h480-rw
애니팡2,puzzle,4,1000000,https://play.google.com/store/apps/details?id=com.sundaytoz.mobile.anipang2.google.kakao.service,https://play-lh.googleusercontent.com/36p2tjeCDJ8ertTOmMrDD-HvwWXsUnhQHlch2McbqDJmO4SCmAotD9z9pS8BuI14ZlY=w240-h480-rw
애니팡 사천성,puzzle,3.8,355000,https://play.google.com/store/apps/details?id=com.sundaytoz.mobile.anisachun.google.service,https://play-lh.googleusercontent.com/dP2SFJpVtaE_ElUyM2x08ML_i79gQ9B8Ded3x2VmMGZqxssn1Qwet6PWq0kDdRYFV60=s48-rw
애니팡,puzzle,4,201000,https://play.google.com/store/apps/details?id=com.sundaytoz.mobile.anipang.google.service,https://play-lh.googleusercontent.com/Ens0TL2oYGnQnlEQrnKCdSFVD_FmqmSGwS2yWBCxTjDL0PD7swAJTmuEwYDK1efyO3c=w240-h480-rw
월드 플리퍼,action,4.4,45200,https://play.google.com/store/apps/details?id=com.kakaogames.wdfp,https://play-lh.googleusercontent.com/vMoDYU7ZuLOxFA_Q5BXGREAarZZOqPxMULIrndjgTbkkjDQjs2QrX4UYJ0Z3T6_yoQc=w240-h480-rw
삼국지디펜스,action,3.8,28100,https://play.google.com/store/apps/details?id=com.dddgame.sd3,https://play-lh.googleusercontent.com/5Lgdr5QYkJ_3KotGOJ96wHXDaF3XBJqtQ5CxUewFShaKEbl6EjyeQ-OQdHZFu33Hbqw=w240-h480-rw
영웅,action,4.2,358000,https://play.google.com/store/apps/details?id=com.ftt.hero_gl_4kakao,https://play-lh.googleusercontent.com/qxehdGVgU6mjLfzY3-JRX2lsyRbMgk-SXWrfSnfViNDxEuEouxKgqnAZhbcEnXnJDV4=w240-h480-rw
컴온파이터!,action,4.2,21400,https://play.google.com/store/apps/details?id=com.Danalgames.CobFighter,https://play-lh.googleusercontent.com/8zcpQYFBOUVNWV7d4M3-ukfr1eR3kX9hNOJEkHWeLEFvEOU-o7nboIU3UEJsbTBmrlo=w240-h480-rw
