title,genre,rating,review_num,url,img,key_words
장기,board,3.5,57400,https://play.google.com/store/apps/details?id=com.monomob.jangki,https://play-lh.googleusercontent.com/3YUFiVZQ7UM7mUJKu5mbDvomi29plfZl9Rt9pzkeBqkp-HqzDMsMeulHZCAJeehukNGN=w240-h480-rw,"['대국', '장기', '기물', '시간', '상대방', '고의', '상대', '악성', '기보', '한판']"
모두의마블,board,3.4,1580000,https://play.google.com/store/apps/details?id=com.cjenm.ModooMarbleKakao,https://play-lh.googleusercontent.com/hixay-W9zEw_bBQUuaTN5YoHg2Ch-vwwhi47b_wVERTQ2RBL-7W-8uwTgbVjxl_Pew=w240-h480-rw,"['행템', '모마', '마블', '주사위', '아이템', '캐릭터', '행운', '카드', '확률', '이벤트']"
카트라이더 러쉬플러스,sports,3.7,428000,https://play.google.com/store/apps/details?id=com.nexon.kart,https://play-lh.googleusercontent.com/OeKApmjk4WUCvrqgsGjnaW5tE08-mLNxJBaHPU-e_O1KVkDFC8Nk2pjq_lTOVQI2rg=w240-h480-rw,"['카트', '라이더', '건전지', '카러플', '드리프트', '랭킹', '라이선스', '트랙', '러쉬', '어택']"
낚시왕,sports,3.7,545,https://play.google.com/store/apps/details?id=com.funnypack.rfkakao,https://play-lh.googleusercontent.com/J-cfeFq-eSNCAp3MumH6PmRHW55AXHE4aNtRp8qa-sleSA3zhrmBoQ6597ojThG4TQ=w240-h480-rw,"['낚시', '물고기', '바다', '어부', '수족관', '라이벌', '피싱', '손맛', '장비', '한잔']"
드림스쿼드,sports,4.4,9670,https://play.google.com/store/apps/details?id=com.AIGames.DSFMK,https://play-lh.googleusercontent.com/wtJJZKLnY7qaqtHHRPaqtq2vb1G9XelWMdKai_VtzC_fz7A67OMA_gAekjxL8jWjNvw=w240-h480-rw,"['선수', '축구', '재미', '감독', 'fm', '시간', '재밋네', '영입', '전술', '재밋']"
Hello BT21,puzzle,4.4,13600,https://play.google.com/store/apps/details?id=com.kakaogames.hellobt21,https://play-lh.googleusercontent.com/PeeOv3NLHTixiHUI1s5GkzkKY17cR4zBln53IPqtBHDZjQdP3HXjxKbtI6P8qyON-g=w240-h480-rw,"['bt', '아미', '캐릭터', '츄러스', '이모티콘', '방탄', '스토리', '난이도', '퍼즐', '스테이지']"
애니팡4,puzzle,4.3,65400,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.anipang4,https://play-lh.googleusercontent.com/C2UgLvZ13BCADFZk3p_Hsgasjb5Cz5FgGYMtkt2TgYCPDpGYyB0tF0OthkK6K8MSiA=w240-h480-rw,"['애니팡', '스테이지', '아이템', '하트', '블록', '블럭', '특수', '클리어', '난이도', '시작']"
디즈니 팝 타운,puzzle,4.4,9670,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.joy,https://play-lh.googleusercontent.com/nNPMff3LFd_qDYadSz_LRp_ZoysleWEEOzIfXSwg6kGssdcSfef3YzhcM_9iu3MPf1DU=w240-h480-rw,"['환승', '디즈니', '하트', '코스튬', '타운', '레벨', '난이도', '럭키', '친구', '캐릭터']"
프렌즈타운,puzzle,4.4,99800,https://play.google.com/store/apps/details?id=com.kakaogames.friendsTown,https://play-lh.googleusercontent.com/emG1Axw1nSlxrlpvkLzwrCRAQzgur5-cOdk2iuwLNPraQfhbqYs-7D_EXd1ZMZFm1CNy=w240-h480-rw,"['타운', '프렌즈', '퍼즐', '스테이지', '하트', '난이도', '큐브', '아이템', '블럭', '클리어']"
프렌즈타워,puzzle,4,11900,https://play.google.com/store/apps/details?id=com.kakaogames.friendsTower,https://play-lh.googleusercontent.com/lETEdoigQCj-eJuCqkREA-OkqtHG6Rmhe9bFF6CvEb6J-7f4MJIOZ9jJ_BatV8cQHfo=w240-h480-rw,"['하트', '홀리데이', '난이도', '프렌즈', '스테이지', '타워', '아이템', '연회', 'vip', '클리어']"
캔디팡 : 쥬시월드,puzzle,3.7,30500,https://play.google.com/store/apps/details?id=com.joymax.candypang2,https://play-lh.googleusercontent.com/Ng5Dn7CYC5wvvz2Hc7XfGjqEWwXnXNQVfE9OwnNjGeb-mu3HpDqCV-iXcxzHWSYAGFc=w240-h480-rw,"['시간', '캔디팡', '하트', '재미', '챔피언스리그', '리그', '중독', '스테이지', '아이템', '오렌지']"
헬로키티 프렌즈,puzzle,4.5,41200,https://play.google.com/store/apps/details?id=com.SuperAwesome.HKFKakao,https://play-lh.googleusercontent.com/RpIAdFNws5Pj2tO8ZmHQ94RKspkWFaFojo_HWpGD_kaG43LT8Tl480cGRGNS7V1kMEU=w240-h480-rw,"['키티', '헬로키티', '쿠로미', '캐릭터', '산리오', '사과', '재미', '시간', '프렌즈', '친구']"
위 베어 베어스 더 퍼즐,puzzle,4,72200,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.wbb,https://play-lh.googleusercontent.com/7RPj6B_IdLjl5SjtyWG9ufQosqQ77llGSkTLhungciYDXuC0S1TehzlGAs1Coq5BQHw=w240-h480-rw,"['아이템', '하트', '스컹크', '퍼즐', '난이도', '위베베', '이벤트', '청소기', '스테이지', '클리어']"
